category,name,price,sweetness,tags
샌드위치,치아바타 잠봉 샌드위치,8500,1,"#든든한,#짭짤한,#고소한,#인기"
샌드위치,베이글 잠봉 샌드위치,7500,1,"#든든한,#짭짤한,#고소한"
샌드위치,소금빵 잠봉 샌드위치,6500,1,"#든든한,#짭짤한,#고소한"
샌드위치,치아바타 닭가슴살 샌드위치,8500,1,"#든든한,#담백한"
샌드위치,베이글 닭가슴살 샌드위치,7500,1,"#든든한,#담백한"
샌드위치,소금빵 닭가슴살 샌드위치,6500,1,"#든든한,#담백한"
샐러드,수비드 닭가슴살 샐러드,11900,1,"#고단백,#가벼운"
샐러드,잠봉 샐러드,12900,1,"#든든한,#짭짤한,#고소한"
디저트,옛날 팥빙수(1인),6000,4,"#달콤한"
디저트,옛날 팥빙수(2인),11000,4,"#달콤한"
빵,치즈 베이글,3500,2,"#짭짤한,#고소한,#든든한"
빵,올리브 베이글,3500,1,"#고소한,#짭짤한,#담백한"
빵,플레인 베이글,3200,1,"#담백한,#가벼운"
빵,버터 스콘,4000,2,"#고소한, #바삭한"
빵,초코 스콘,4200,4,"#달콤한,#초코,#바삭한"
빵,까눌레,3000,3,"#달콤한,#겉바속촉,#고소한"
빵,에그타르트,4000,3,"#달콤한,#인기"
빵,크룽지(대),4500,2,"#바삭한,#가벼운"
빵,크룽지(소),3000,2,"#바삭한,#가벼운"
빵,소금빵,3200,1,"#짭짤한,#고소한,#인기"
빵,초코소금빵,3800,3,"#달콤한,#초코,#짭짤한"
빵,모카소금빵,3800,3,"#달콤한,#커피향,#짭짤한"
빵,앙버터소금빵,4700,3,"#달콤한,#인기"
빵,플레인 치아바타,4500,1,"#담백한,#가벼운"
빵,치즈 치아바타,4900,1,"#짭짤한,#치즈,#든든한"
빵,올리브 치아바타,4900,1,"#고소한,#짭짤한,#든든한"
빵,플레인 프레첼,3500,2,"#담백한,#쫄깃한"
빵,앙버터 프레첼,4500,3,"#달콤한,#든든한"
빵,허니버터 프레첼,4500,4,"#달콤한,#디저트용"
빵,찰떡모찌빵,4500,2,"쫄깃한"



